Time - Plot 0;Amplitude - Plot 0;
375;2.90597;9.375
376;2.90597;9.4
377;2.91906;9.425
378;2.93652;9.45
379;2.9627;9.475
380;2.9976;9.5
381;3.03251;9.525
382;3.07614;9.55
383;3.12414;9.575
384;3.16777;9.6
385;3.21141;9.625
386;3.25504;9.65
387;3.28558;9.675
388;3.31613;9.7
389;3.33358;9.725
390;3.34231;9.75
391;3.34231;9.775
392;3.33358;9.8
393;3.31613;9.825
394;3.28995;9.85
395;3.2594;9.875
396;3.2245;9.9
397;3.18523;9.925
398;3.14596;9.95
399;3.10232;9.975
400;3.06742;10
401;3.03251;10.025
402;3.00633;10.05
403;2.98451;10.075
404;2.96706;10.1
405;2.9627;10.125
406;2.9627;10.15
407;2.97142;10.175
408;2.98451;10.2
409;3.00633;10.225
410;3.03251;10.25
411;3.06305;10.275
412;3.0936;10.3
413;3.1285;10.325
414;3.16341;10.35
415;3.19832;10.375
416;3.22886;10.4
417;3.25504;10.425
418;3.27686;10.45
419;3.28995;10.475
420;3.29867;10.5
421;3.29867;10.525
422;3.28995;10.55
423;3.27686;10.575
424;3.2594;10.6
425;3.23322;10.625
426;3.20268;10.65
427;3.17214;10.675
428;3.14159;10.7
429;3.11105;10.725
430;3.08051;10.75
431;3.05433;10.775
432;3.03251;10.8
433;3.01069;10.825
434;2.9976;10.85
435;2.98888;10.875
436;2.98888;10.9
437;2.9976;10.925
438;3.01069;10.95
439;3.02815;10.975
440;3.04996;11
441;3.07614;11.025
442;3.10669;11.05
443;3.13723;11.075
444;3.16777;11.1
445;3.19832;11.125
446;3.2245;11.15
447;3.24631;11.175
448;3.26377;11.2
449;3.27686;11.225
450;3.28122;11.25
451;3.28122;11.275
452;3.27686;11.3
453;3.26377;11.325
454;3.24195;11.35
455;3.22013;11.375
456;3.19395;11.4
457;3.16777;11.425
458;3.13723;11.45
459;3.11105;11.475
460;3.08051;11.5
461;3.05869;11.525
462;3.03687;11.55
463;3.01942;11.575
464;3.01069;11.6
465;3.00197;11.625
466;3.00633;11.65
467;3.01069;11.675
468;3.02378;11.7
469;3.04124;11.725
470;3.06305;11.75
471;3.08923;11.775
472;3.11541;11.8
473;3.14159;11.825
474;3.17214;11.85
475;3.19832;11.875
476;3.22013;11.9
477;3.24195;11.925
478;3.25504;11.95
479;3.26377;11.975
480;3.26813;12
481;3.26813;12.025
482;3.2594;12.05
483;3.25068;12.075
484;3.22886;12.1
485;3.21141;12.125
486;3.18523;12.15
487;3.15905;12.175
488;3.13287;12.2
489;3.10669;12.225
490;3.08051;12.25
491;3.05869;12.275
492;3.04124;12.3
493;3.02378;12.325
494;3.01506;12.35
495;3.01506;12.375
496;3.01506;12.4
497;3.02378;12.425
498;3.03251;12.45
499;3.04996;12.475
500;3.07178;12.5
501;3.09796;12.525
502;3.11978;12.55
503;3.14596;12.575
504;3.17214;12.6
505;3.19832;12.625
506;3.21577;12.65
507;3.23322;12.675
508;3.24631;12.7
509;3.25504;12.725
510;3.2594;12.75
511;3.25504;12.775
512;3.25068;12.8
513;3.23759;12.825
514;3.22013;12.85
515;3.19832;12.875
516;3.1765;12.9
517;3.15032;12.925
518;3.1285;12.95
519;3.10232;12.975
520;3.08051;13
521;3.05869;13.025
522;3.0456;13.05
523;3.03251;13.075
524;3.02378;13.1
525;3.02378;13.125
526;3.02815;13.15
527;3.03251;13.175
528;3.0456;13.2
529;3.06305;13.225
530;3.08487;13.25
531;3.10669;13.275
532;3.1285;13.3
533;3.15468;13.325
534;3.1765;13.35
535;3.19832;13.375
536;3.21577;13.4
537;3.22886;13.425
538;3.24195;13.45
539;3.24631;13.475
540;3.24631;13.5
541;3.24195;13.525
542;3.23759;13.55
543;3.2245;13.575
544;3.20704;13.6
545;3.18959;13.625
546;3.16777;13.65
547;3.14596;13.675
548;3.12414;13.7
549;3.10232;13.725
550;3.08051;13.75
551;3.06305;13.775
552;3.04996;13.8
553;3.04124;13.825
554;3.03687;13.85
555;3.03687;13.875
556;3.04124;13.9
557;3.04996;13.925
558;3.05869;13.95
559;3.07614;13.975
560;3.0936;14
561;3.11541;14.025
562;3.13723;14.05
563;3.15905;14.075
564;3.18086;14.1
565;3.19832;14.125
566;3.21141;14.15
567;3.2245;14.175
568;3.23322;14.2
569;3.23759;14.225
570;3.23759;14.25
571;3.23322;14.275
572;3.2245;14.3
573;3.21141;14.325
574;3.19832;14.35
575;3.1765;14.375
576;3.15905;14.4
577;3.13723;14.425
578;3.11541;14.45
579;3.09796;14.475
580;3.08051;14.5
581;3.06742;14.525
582;3.05433;14.55
583;3.0456;14.575
584;3.0456;14.6
585;3.0456;14.625
586;3.04996;14.65
587;3.05869;14.675
588;3.07178;14.7
589;3.08487;14.725
590;3.10232;14.75
591;3.12414;14.775
592;3.14159;14.8
593;3.16341;14.825
594;3.18086;14.85
595;3.19832;14.875
596;3.21141;14.9
597;3.22013;14.925
598;3.2245;14.95
599;3.22886;14.975
600;3.2245;15
601;3.22013;15.025
602;3.21141;15.05
603;3.19832;15.075
604;3.18523;15.1
605;3.16777;15.125
606;3.15032;15.15
607;3.13287;15.175
608;3.11541;15.2
609;3.09796;15.225
610;3.08051;15.25
611;3.07178;15.275
612;3.06305;15.3
613;3.05433;15.325
614;3.05433;15.35
615;3.05869;15.375
616;3.06305;15.4
617;3.07178;15.425
618;3.08487;15.45
619;3.09796;15.475
620;3.11541;15.5
621;3.13287;15.525
622;3.15032;15.55
623;3.16777;15.575
624;3.18086;15.6
625;3.19395;15.625
626;3.20704;15.65
627;3.21577;15.675
628;3.22013;15.7
629;3.22013;15.725
630;3.21577;15.75
631;3.21141;15.775
632;3.20268;15.8
633;3.18959;15.825
634;3.1765;15.85
635;3.15905;15.875
636;3.14596;15.9
637;3.1285;15.925
638;3.11105;15.95
639;3.09796;15.975
640;3.08487;16
641;3.07614;16.025
642;3.06742;16.05
643;3.06305;16.075
644;3.06305;16.1
645;3.06742;16.125
646;3.07614;16.15
647;3.08487;16.175
648;3.0936;16.2
649;3.10669;16.225
650;3.11978;16.25
651;3.13723;16.275
652;3.15032;16.3
653;3.16777;16.325
654;3.18086;16.35
655;3.18959;16.375
656;3.19832;16.4
657;3.20704;16.425
658;3.20704;16.45
659;3.20704;16.475
660;3.20268;16.5
661;3.19832;16.525
662;3.18959;16.55
663;3.1765;16.575
664;3.16341;16.6
665;3.15032;16.625
666;3.13723;16.65
667;3.12414;16.675
668;3.11105;16.7
669;3.09796;16.725
670;3.08923;16.75
671;3.08051;16.775
672;3.07614;16.8
673;3.07614;16.825
674;3.07614;16.85
675;3.07614;16.875
676;3.08487;16.9
677;3.0936;16.925
678;3.10232;16.95
679;3.11541;16.975
680;3.1285;17
681;3.14159;17.025
682;3.15468;17.05
683;3.16777;17.075
684;3.1765;17.1
685;3.18523;17.125
686;3.19395;17.15
687;3.19832;17.175
688;3.19832;17.2
689;3.19832;17.225
690;3.19395;17.25
691;3.18523;17.275
692;3.18086;17.3
693;3.16777;17.325
694;3.15905;17.35
695;3.14596;17.375
696;3.13287;17.4
697;3.12414;17.425
698;3.11105;17.45
699;3.10232;17.475
700;3.0936;17.5
701;3.08923;17.525
702;3.08487;17.55
703;3.08487;17.575
704;3.08487;17.6
705;3.08923;17.625
706;3.0936;17.65
707;3.10232;17.675
708;3.11105;17.7
709;3.12414;17.725
710;3.13287;17.75
711;3.14596;17.775
712;3.15468;17.8
713;3.16341;17.825
714;3.17214;17.85
715;3.18086;17.875
716;3.18523;17.9
717;3.18523;17.925
718;3.18959;17.95
719;3.18523;17.975
720;3.18086;18
721;3.1765;18.025
722;3.16777;18.05
723;3.15905;18.075
724;3.15032;18.1
725;3.14159;18.125
726;3.1285;18.15
727;3.11978;18.175
728;3.11105;18.2
729;3.10669;18.225
730;3.09796;18.25
731;3.09796;18.275
732;3.0936;18.3
733;3.0936;18.325
734;3.09796;18.35
735;3.09796;18.375
736;3.10669;18.4
737;3.11105;18.425
738;3.11978;18.45
739;3.1285;18.475
740;3.13723;18.5
741;3.14596;18.525
742;3.15468;18.55
743;3.16341;18.575
744;3.16777;18.6
745;3.17214;18.625
746;3.1765;18.65
747;3.1765;18.675
748;3.1765;18.7
749;3.1765;18.725
750;3.17214;18.75
751;3.16777;18.775
752;3.15905;18.8
753;3.15468;18.825
754;3.14596;18.85
755;3.13723;18.875
756;3.1285;18.9
757;3.12414;18.925
758;3.11541;18.95
759;3.11105;18.975
760;3.10669;19
761;3.10232;19.025
762;3.10232;19.05
763;3.10232;19.075
764;3.10669;19.1
765;3.11105;19.125
766;3.11541;19.15
767;3.11978;19.175
768;3.1285;19.2
769;3.13287;19.225
770;3.14159;19.25
771;3.14596;19.275
772;3.15468;19.3
773;3.15905;19.325
774;3.16341;19.35
775;3.16777;19.375
776;3.16777;19.4
777;3.16777;19.425
778;3.16777;19.45
779;3.16341;19.475
780;3.16341;19.5
781;3.15905;19.525
782;3.15468;19.55
783;3.14596;19.575
784;3.14159;19.6
785;3.13723;19.625
786;3.1285;19.65
787;3.12414;19.675
788;3.11978;19.7
789;3.11978;19.725
790;3.11541;19.75
791;3.11541;19.775
792;3.11541;19.8
793;3.11541;19.825
794;3.11541;19.85
795;3.11978;19.875
796;3.12414;19.9
797;3.1285;19.925
798;3.13287;19.95
799;3.13723;19.975
800;3.14159;20
801;3.14596;20.025
802;3.15032;20.05
803;3.15468;20.075
804;3.15468;20.1
805;3.15905;20.125
806;3.15905;20.15
807;3.15905;20.175
808;3.15905;20.2
809;3.15468;20.225
810;3.15032;20.25
811;3.15032;20.275
812;3.14596;20.3
813;3.14159;20.325
814;3.13723;20.35
815;3.13287;20.375
816;3.1285;20.4
817;3.1285;20.425
818;3.12414;20.45
819;3.12414;20.475
820;3.12414;20.5
821;3.12414;20.525
822;3.12414;20.55
823;3.12414;20.575
824;3.1285;20.6
825;3.1285;20.625
826;3.13287;20.65
827;3.13723;20.675
828;3.13723;20.7
829;3.14159;20.725
830;3.14596;20.75
831;3.14596;20.775
832;3.15032;20.8
833;3.15032;20.825
834;3.15032;20.85
835;3.15032;20.875
836;3.15032;20.9
837;3.15032;20.925
838;3.14596;20.95
839;3.14596;20.975
840;3.14596;21
841;3.14159;21.025
842;3.13723;21.05
843;3.13723;21.075
844;3.13287;21.1
845;3.13287;21.125
846;3.13287;21.15
847;3.1285;21.175
848;3.1285;21.2
849;3.1285;21.225
850;3.1285;21.25
851;3.13287;21.275
852;3.13287;21.3
853;3.13287;21.325
854;3.13723;21.35
855;3.13723;21.375
856;3.14159;21.4
857;3.14159;21.425
858;3.14159;21.45
859;3.14596;21.475
860;3.14596;21.5
861;3.14596;21.525
862;3.14596;21.55
863;3.14596;21.575
864;3.14596;21.6
865;3.14596;21.625
866;3.14159;21.65
867;3.14159;21.675
868;3.14159;21.7
869;3.14159;21.725
870;3.13723;21.75
871;3.13723;21.775
872;3.13723;21.8
873;3.13723;21.825
874;3.13723;21.85
875;3.13723;21.875
876;3.13723;21.9
877;3.13723;21.925
878;3.13723;21.95
879;3.13723;21.975
880;3.13723;22
881;3.13723;22.025
882;3.13723;22.05
883;3.13723;22.075
884;3.13723;22.1
885;3.14159;22.125
886;3.14159;22.15
887;3.14159;22.175
888;3.14159;22.2
889;3.14159;22.225
890;3.14159;22.25
891;3.13723;22.275
892;3.13723;22.3
893;3.13723;22.325
894;3.13723;22.35
895;3.13723;22.375
896;3.13723;22.4
897;3.13723;22.425
898;3.13723;22.45
899;3.13723;22.475
900;3.13723;22.5
901;3.13723;22.525
902;3.13723;22.55
903;3.13723;22.575
904;3.13723;22.6
905;3.13723;22.625
906;3.13723;22.65
907;3.13723;22.675
908;3.13723;22.7
909;3.13723;22.725
910;3.13723;22.75
911;3.13723;22.775
912;3.13723;22.8
913;3.13723;22.825
914;3.13723;22.85
915;3.13723;22.875
916;3.13723;22.9
917;3.13723;22.925
918;3.13723;22.95
919;3.13723;22.975
920;3.13723;23
921;3.13723;23.025
922;3.13723;23.05
923;3.13723;23.075
924;3.13723;23.1
925;3.13723;23.125
926;3.13723;23.15
927;3.13723;23.175
928;3.13723;23.2
929;3.13723;23.225
930;3.13723;23.25
931;3.13723;23.275
932;3.13723;23.3
933;3.13723;23.325
934;3.13723;23.35
935;3.13723;23.375
936;3.13723;23.4
937;3.13723;23.425
938;3.13723;23.45
939;3.13723;23.475
940;3.13723;23.5
941;3.13723;23.525
942;3.13723;23.55
943;3.13723;23.575
944;3.13723;23.6
945;3.13723;23.625
946;3.13723;23.65
947;3.13723;23.675
948;3.13723;23.7
949;3.13723;23.725
950;3.13723;23.75
951;3.13723;23.775
952;3.13723;23.8
953;3.13723;23.825
954;3.13723;23.85
955;3.13723;23.875
956;3.13723;23.9
957;3.13723;23.925
958;3.13723;23.95
959;3.13723;23.975
960;3.13723;24
961;3.13723;24.025
962;3.13723;24.05
963;3.13723;24.075
964;3.13723;24.1
965;3.13723;24.125
966;3.13723;24.15
967;3.13723;24.175
968;3.13723;24.2
969;3.13723;24.225
970;3.13723;24.25
971;3.13723;24.275
972;3.13723;24.3
973;3.13723;24.325
974;3.13723;24.35
975;3.13723;24.375
976;3.13723;24.4
977;3.13723;24.425
978;3.13723;24.45
979;3.13723;24.475
980;3.13723;24.5
981;3.13723;24.525
982;3.13723;24.55
983;3.13723;24.575
984;3.13723;24.6
985;3.13723;24.625
986;3.13723;24.65
987;3.13723;24.675
988;3.13723;24.7
989;3.13723;24.725
990;3.13723;24.75
991;3.13723;24.775
992;3.13723;24.8
993;3.13723;24.825
994;3.13723;24.85
995;3.13723;24.875
996;3.13723;24.9
997;3.13723;24.925
998;3.13723;24.95
999;3.13723;24.975
1000;3.13723;25
1001;3.13723;25.025
1002;3.13723;25.05
1003;3.13723;25.075
1004;3.13723;25.1
1005;3.13723;25.125
1006;3.13723;25.15
1007;3.13723;25.175
1008;3.13723;25.2
1009;3.13723;25.225
1010;3.13723;25.25
1011;3.13723;25.275
1012;3.13723;25.3
1013;3.13723;25.325
1014;3.13723;25.35
1015;3.13723;25.375
1016;3.13723;25.4
1017;3.13723;25.425
1018;3.13723;25.45
1019;3.13723;25.475
1020;3.13723;25.5
1021;3.13723;25.525
1022;3.13723;25.55
1023;3.13723;25.575
1024;3.13723;25.6
1025;3.13723;25.625
1026;3.13723;25.65
1027;3.13723;25.675
1028;3.13723;25.7
1029;3.13723;25.725
1030;3.13723;25.75
1031;3.13723;25.775
1032;3.13723;25.8
1033;3.13723;25.825
1034;3.13723;25.85
1035;3.13723;25.875
1036;3.13723;25.9
